"pop3a_total","pop3b_total","pop3c_total","pop3d_total","pop3e_total","pop3f_total","pop3g_total","pop3h_total","pop3i_total","pop3j_total","pop3k_total","pop3l_total","pop3m_total","pop3n_total","pop3o_total","pop3p_total","pop3q_total","pop3r_total","pop3s_total","pop3t_total","pop3u_total","pop3v_total","pop3w_total","pop3x_total","age","house","edu","ethnicity_x","house2","sex","socialaccept_mcfsw","socialaccept_msm","socialaccept_fsw","socialaccept_pwid"
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,54,"5-room","Secondary","Chinese","4+ room",0,-5,-9,-8,-9
1,3,1,2,4,0,0,0,0,1,1,0,4,0,0,0,0,0,0,3,10,10,5,0,70,"4-room","Primary","Chinese","4+ room",1,-5,-9,-9,-9
5,3,1,1,4,1,5,0,1,0,1,1,0,1,3,2,4,1,0,0,2,3,0,0,59,"5-room","University","Indian","4+ room",0,-7,-6,-7,-9
3,4,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,2,0,0,70,"5-room","Secondary","Indian","4+ room",0,-9,-9,-9,-9
3,1,3,2,0,5,1,1,0,0,0,0,0,1,1,30,1,0,0,0,10,5,3,1,56,"3-room","University","Chinese","1-3 room",0,-6,0,-6,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,"4-room","Pre-tertiary","Malay","4+ room",1,-5,-6,-7,-8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,33,"4-room","University","Indian","4+ room",1,-9,-8,-6,-9
5,2,2,0,0,4,5,0,0,0,0,0,0,0,0,5,0,0,0,2,5,6,1,0,46,"Condominium","University","Chinese","Private",1,-2,-7,-3,-6
0,0,8,2,0,0,5,4,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,3,23,"2-room","Secondary","Malay","1-3 room",1,-6,-7,-5,-5
3,1,5,3,6,3,2,1,0,2,2,1,0,1,3,4,0,0,0,0,0,20,0,0,50,"4-room","Secondary","Chinese","4+ room",0,-5,-5,-9,-8
4,6,1,0,7,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,4,41,"3-room","Secondary","Malay","1-3 room",0,-9,-5,-9,-9
0,3,0,1,0,1,1,1,0,1,1,0,0,2,5,1,1,0,0,0,4,3,1,0,42,"3-room","Pre-tertiary","Indian","1-3 room",1,-7,-9,-7,-9
3,2,0,0,0,0,0,0,0,2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,53,"1-room","Secondary","Indian","1-3 room",0,-7,-9,-9,-9
0,4,1,3,0,0,0,3,0,0,0,2,0,3,0,0,1,3,0,0,10,10,0,0,52,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
1,0,2,50,10,0,0,10,10,1,1,10,10,0,0,0,0,0,0,10,10,10,10,0,49,"5-room","Pre-tertiary","Chinese","4+ room",1,-9,-9,-9,45
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,25,"4-room","Pre-tertiary","Indian","4+ room",1,-3,-2,0,-2
0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,39,"5-room","University","Malay","4+ room",1,-8,-9,-8,-6
3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"2-room","Secondary","Malay","1-3 room",0,-9,-9,-9,-9
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,"3-room","Primary","Chinese","1-3 room",1,-7,-9,-9,-9
0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,62,"4-room","Secondary","Chinese","4+ room",0,-2,-6,-2,-9
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,57,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,1,0,42,"2-room","Pre-tertiary","Indian","1-3 room",0,-2,-4,-8,-9
0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,56,"Condominium","Pre-tertiary","Chinese","Private",1,-5,-8,-5,-5
0,0,0,3,0,1,0,2,0,0,0,2,1,0,4,0,0,0,0,0,3,3,0,0,53,"Condominium","Secondary","Chinese","Private",0,-7,-8,-6,-7
1,1,1,5,0,1,0,2,1,0,0,2,1,0,6,1,0,3,0,0,3,4,1,0,28,"4-room","University","Indian","4+ room",1,-9,-9,-9,-9
2,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,44,2,0,0,3,4,0,0,55,"5-room","University","Malay","4+ room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"4-room","Pre-tertiary","Malay","4+ room",1,-8,-8,-8,-8
0,0,0,2,3,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,1,1,2,0,57,"3-room","Secondary","Chinese","1-3 room",0,-4,-7,-3,-9
4,6,6,0,0,2,0,4,0,4,0,0,0,1,1,0,0,1,0,0,4,4,6,0,62,"4-room","Secondary","Indian","4+ room",0,-9,-9,-9,-9
0,0,0,3,1,1,0,2,0,1,0,5,1,1,1,0,2,3,0,0,1,1,0,0,51,"5-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
0,2,5,3,4,2,0,0,0,3,0,1,1,0,0,0,0,3,0,0,3,3,3,0,54,"5-room","Pre-tertiary","Malay","4+ room",1,-9,-9,-9,-9
2,1,0,2,4,1,0,2,0,1,1,1,0,0,2,0,0,1,0,0,1,2,1,0,58,"5-room","Pre-tertiary","Indian","4+ room",1,-9,-9,-9,-9
1,7,1,1,0,1,0,5,1,0,0,0,1,10,10,0,2,4,0,0,7,7,3,0,48,"5-room","University","Malay","4+ room",0,-9,-9,-9,-9
2,0,0,1,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,2,3,0,43,"3-room","Pre-tertiary","Chinese","1-3 room",1,-6,-5,-5,-4
1,10,0,0,0,20,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,50,"5-room","University","Others","4+ room",1,-3,-9,0,-9
6,4,0,0,1,2,0,2,0,0,0,1,1,0,0,0,15,0,0,0,1,3,0,0,60,"Condominium","University","Chinese","Private",0,-9,-9,-8,-9
1,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,43,"5-room","University","Chinese","4+ room",1,-2,-9,-2,-8
0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,"5-room","University","Chinese","4+ room",1,-3,-9,-9,-9
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,53,"4-room","Secondary","Chinese","4+ room",1,-5,-9,-5,-9
1,3,2,5,3,0,12,6,0,1,0,0,0,0,1,0,0,2,0,0,8,15,5,1,39,"4-room","University","Chinese","4+ room",1,-1,-8,-3,-5
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"4-room","University","Chinese","4+ room",0,-7,-9,-9,-9
0,0,0,2,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,2,1,0,64,"2-room","Pre-tertiary","Chinese","1-3 room",0,-5,-9,-9,-7
5,10,4,0,10,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,45,"Condominium","Pre-tertiary","Chinese","Private",0,-9,-9,-9,-9
0,4,4,4,4,0,0,2,3,1,2,0,0,1,0,0,2,4,0,0,2,3,0,0,63,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-9
0,0,2,2,2,1,0,1,0,0,1,1,0,1,2,1,0,1,0,2,3,3,1,1,62,"2-room","Secondary","Malay","1-3 room",1,-9,-9,-9,-9
0,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,2,3,0,0,1,0,3,3,50,"2-room","Primary","Malay","1-3 room",0,-9,-9,-9,-9
0,1,0,2,0,0,0,1,0,3,1,1,0,0,0,0,2,0,0,0,3,0,0,0,62,"5-room","Secondary","Chinese","4+ room",0,-4,-9,-4,-9
0,4,10,10,0,5,0,8,7,4,0,0,0,0,0,2,2,0,0,0,0,1,8,1,39,"3-room","Pre-tertiary","Indian","1-3 room",1,-2,-9,-2,-9
1,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,52,"3-room","Pre-tertiary","Indian","1-3 room",1,-5,-9,-5,-9
0,10,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,50,"4-room","Pre-tertiary","Indian","4+ room",0,-9,-9,-9,-8
1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,10,5,0,0,69,"2-room","Secondary","Chinese","1-3 room",1,-3,-9,-4,-5
5,7,0,5,10,0,0,0,5,0,2,10,5,2,5,0,10,0,5,0,0,0,3,2,32,"4-room","Pre-tertiary","Indian","4+ room",1,-3,-6,0,-5
1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,52,"Others","Secondary","Chinese","Private",0,-5,-9,-6,-9
1,5,1,2,2,4,3,3,5,1,2,2,2,2,3,8,5,2,1,0,3,3,2,0,51,"4-room","University","Chinese","4+ room",0,-1,-1,-2,-8
0,0,0,2,1,0,4,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,6,2,57,"5-room","University","Chinese","4+ room",1,-4,-7,-8,-6
0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,46,"5-room","Secondary","Chinese","4+ room",0,-9,-8,-9,-9
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"5-room","Secondary","Chinese","4+ room",1,-8,-8,-4,-8
0,1,0,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,57,"4-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
1,0,1,0,2,2,8,2,0,1,1,0,1,0,0,0,0,1,0,0,2,4,3,1,57,"5-room","University","Chinese","4+ room",1,-7,-6,-6,-9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,56,"5-room","University","Chinese","4+ room",0,-5,-9,-5,-9
1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,55,"Landed","Pre-tertiary","Chinese","Private",1,-3,-9,-4,-8
0,0,1,2,1,1,0,2,0,0,0,0,0,1,1,0,0,1,1,0,5,5,1,0,60,"4-room","Secondary","Chinese","4+ room",0,-6,-6,-7,-9
3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,8,3,5,0,62,"4-room","Secondary","Indian","4+ room",1,-9,-9,-9,-9
0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,"4-room","Pre-tertiary","Indian","4+ room",1,-7,-4,-8,-9
0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,46,"4-room","Pre-tertiary","Chinese","4+ room",1,-3,-8,-4,-8
1,2,4,0,2,4,0,2,4,3,1,2,1,0,2,0,0,0,0,0,1,1,4,0,43,"3-room","Pre-tertiary","Chinese","1-3 room",0,-9,-8,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,60,"Condominium","Pre-tertiary","Chinese","Private",0,-9,-9,-9,-9
2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-9
0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-9
0,2,2,6,7,2,0,2,0,1,0,2,0,3,2,0,0,2,0,0,2,5,0,0,41,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,23,"3-room","Pre-tertiary","Indian","1-3 room",0,-7,-5,-6,-9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
5,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,3,10,0,58,"5-room","Secondary","Chinese","4+ room",0,-6,-9,-6,-9
2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,68,"5-room","Secondary","Chinese","4+ room",1,-7,-9,-7,-9
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,64,"5-room","Primary","Chinese","4+ room",1,-5,-9,-6,-9
0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,"5-room","Secondary","Malay","4+ room",1,-9,-9,-8,-9
0,1,1,2,0,0,0,4,0,0,0,1,1,0,0,9,0,3,0,0,1,2,0,12,30,"4-room","Secondary","Malay","4+ room",0,-9,-9,-8,-6
0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,58,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-8
5,0,3,0,2,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,31,"3-room","Pre-tertiary","Chinese","1-3 room",0,-3,-3,-3,-8
0,0,10,2,0,2,0,4,1,2,0,50,1,3,5,1,1,0,1,0,1,1,5,0,58,"4-room","Secondary","Chinese","4+ room",0,-4,-5,-3,-8
0,1,3,7,1,2,0,2,0,2,0,2,2,0,0,1,0,1,0,0,11,3,0,1,46,"4-room","Secondary","Chinese","4+ room",1,-2,-9,-4,-9
0,0,0,4,0,0,0,1,0,1,1,0,0,0,2,0,0,3,0,0,2,0,0,0,68,"4-room","Secondary","Malay","4+ room",1,-5,-9,-9,-7.66666666666667
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,"4-room","Pre-tertiary","Chinese","4+ room",0,-9,-2,-9,-9
0,2,1,0,0,0,150,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,36,"4-room","Secondary","Others","4+ room",1,-9,-7,-9,-9
1,4,0,3,6,2,0,2,4,2,3,2,2,4,2,0,2,4,0,0,8,10,10,2,NA,"5-room","Primary","Chinese","4+ room",0,-5,-9,-5,-9
0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,66,"4-room","Secondary","Indian","4+ room",0,-9,-9,-9,-9
0,0,1,2,2,1,0,2,0,0,1,0,0,2,4,0,1,2,0,0,3,4,0,0,48,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
5,10,10,6,5,3,0,2,0,3,5,0,0,1,15,0,0,6,2,0,20,15,0,3,62,"4-room","Secondary","Indian","4+ room",1,-5,-9,-6,-8
1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,0,0,63,"4-room","Secondary","Indian","4+ room",0,-4,-6,-6,-4
0,0,0,7,0,1,3,0,0,0,0,1,0,0,2,0,0,1,0,0,20,20,5,2,62,"3-room","Primary","Chinese","1-3 room",1,-5,-7,-5,-9
1,3,2,2,1,1,0,1,0,0,1,0,1,0,4,0,1,1,0,0,1,1,2,0,55,"Condominium","Pre-tertiary","Chinese","Private",0,-9,-9,-9,-9
2,0,2,20,10,5,0,7,0,1,0,2,0,2,8,0,2,4,0,0,8,5,30,0,66,"5-room","Secondary","Chinese","4+ room",1,-7,-9,-5,-9
2,0,2,2,1,2,0,1,0,0,0,0,0,1,4,0,0,1,0,0,3,2,1,0,62,"5-room","Secondary","Chinese","4+ room",0,-9,-9,-9,-9
0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,63,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
2,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,3,0,0,10,5,3,0,62,"4-room","University","Chinese","4+ room",0,-2,-1.66666666666667,-1,-2
