"pop3a_total","pop3b_total","pop3c_total","pop3d_total","pop3e_total","pop3f_total","pop3g_total","pop3h_total","pop3i_total","pop3j_total","pop3k_total","pop3l_total","pop3m_total","pop3n_total","pop3o_total","pop3p_total","pop3q_total","pop3r_total","pop3s_total","pop3t_total","pop3u_total","pop3v_total","pop3w_total","pop3x_total","age","house","edu","ethnicity_x","house2","sex","socialaccept_mcfsw","socialaccept_msm","socialaccept_fsw","socialaccept_pwid"
0,0,2,0,5,6,0,3,3,3,5,5,8,0,0,0,0,3,2,0,4,3,5,0,68,"5-room","Pre-tertiary","Chinese","4+ room",1,-8,-7,-6,-8
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
1,5,3,2,4,2,0,7,4,1,1,14,4,3,2,0,2,15,2,0,5,7,0,0,50,"5-room","Pre-tertiary","Malay","4+ room",0,-9,-9,-9,-9
1,2,0,1,1,3,0,2,0,0,1,2,0,1,1,2,0,1,0,0,2,5,1,0,55,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-8
1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,55,"4-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-9
1,3,2,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,65,"4-room","Primary","Chinese","4+ room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"4-room","Secondary","Chinese","4+ room",0,-5,-9,-5,-9
2,2,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,45,"4-room","University","Chinese","4+ room",0,-7,-7,-7,-7
0,10,2,2,0,2,0,3,1,0,0,1,0,0,5,0,3,10,0,0,5,5,3,0,60,"5-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
0,0,0,1,2,1,0,0,0,0,3,3,0,0,0,0,0,4,0,0,4,4,3,0,52,"2-room","Primary","Malay","1-3 room",1,-9,-9,-9,-9
2,0,0,4,4,2,2,3,2,1,4,4,4,4,4,2,2,4,3,2,4,4,4,2,47,"2-room","Primary","Malay","1-3 room",0,-4,-7,-5,-8
0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,55,"4-room","Primary","Chinese","4+ room",0,-9,-9,-9,-8
0,1,2,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,2,0,0,0,27,"2-room","Secondary","Malay","1-3 room",1,-9,-9,-9,-7
0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,46,"4-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-7
0,3,0,1,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,39,"2-room","Secondary","Malay","1-3 room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,"4-room","Pre-tertiary","Chinese","4+ room",1,-7,-9,-7,-9
0,0,1,2,0,1,0,3,10,0,0,1,1,0,3,2,0,1,1,0,1,1,3,0,25,"5-room","University","Chinese","4+ room",0,-3,-2,-4,-6
0,7,3,2,3,1,0,6,0,0,1,3,0,1,3,0,0,6,0,0,2,4,0,0,29,"4-room","University","Malay","4+ room",0,-9,-9,-9,-9
2,0,2,0,100,1,10,0,1,3,2,2,0,0,0,100,2,2,0,0,10,5,1,0,54,"4-room","Primary","Chinese","4+ room",1,-8,-9,-8,-9
2,1,5,2,0,2,3,3,1,0,0,1,0,0,0,1,1,0,0,1,1,0,2,2,28,"4-room","Pre-tertiary","Malay","4+ room",1,-8,-9,-7,-9
0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,3,0,24,"Executive ","University","Chinese","4+ room",0,-9,-5,-5,-7
2,0,0,1,0,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,35,"3-room","Secondary","Indian","1-3 room",0,-2,-2,-2,-9
0,7,2,3,4,2,0,0,1,1,0,1,0,0,0,0,1,2,0,0,8,5,0,0,57,"4-room","Pre-tertiary","Malay","4+ room",1,-9,-9,-9,-9
16,0,0,3,2,11,8,0,0,0,0,0,0,0,1,4,0,0,0,0,3,2,4,0,39,"4-room","Pre-tertiary","Chinese","4+ room",0,0,-4,-1,-7
2,0,2,1,0,1,0,1,0,2,0,2,0,1,4,1,0,0,1,0,4,2,0,2,57,"5-room","Secondary","Indian","4+ room",0,-5,-9,-9,-9
0,3,1,3,2,1,0,2,0,1,2,1,0,0,4,3,1,2,0,0,3,3,0,0,26,"3-room","University","Malay","1-3 room",0,-9,-9,-9,-9
1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,68,"Landed","Secondary","Chinese","Private",1,-4,-9,-6,-8
0,0,1,3,4,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2,2,0,59,"4-room","Secondary","Chinese","4+ room",1,-2,-9,-9,-8
10,2,3,2,0,0,0,6,0,0,1,0,0,0,0,15,0,5,0,0,10,15,4,0,55,"3-room","University","Chinese","1-3 room",0,-9,-9,-3,-9
0,1,2,3,0,1,0,2,1,0,0,2,2,1,1,0,0,2,0,0,2,2,0,0,49,"5-room","Secondary","Malay","4+ room",1,-8,-9,-9,-9
1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"4-room","Pre-tertiary","Malay","4+ room",1,-8,-7,-9,-9
0,5,1,1,0,0,0,2,0,0,2,2,0,1,2,5,0,2,0,0,0,2,0,0,33,"5-room","Pre-tertiary","Malay","4+ room",0,-7,-7,-8,-6
0,10,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,"4-room","Pre-tertiary","Malay","4+ room",0,-7,-9,-7,-9
1,0,0,0,1,0,0,0,0,0,0,4,0,0,6,2,0,1,0,0,0,0,0,7,36,"3-room","Secondary","Malay","1-3 room",0,-5,-6,-8,-6
3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,51,"5-room","Secondary","Indian","4+ room",0,-5,-9,-7,-9
1,3,6,2,2,2,3,1,0,1,2,1,1,1,1,3,0,1,0,2,1,1,1,0,48,"5-room","Secondary","Indian","4+ room",1,0,-9,0,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"3-room","Primary","Malay","1-3 room",0,-9,-9,-8,-7
5,6,3,4,20,7,0,0,3,0,0,0,0,6,0,0,3,0,0,0,10,4,2,2,55,"5-room","Primary","Chinese","4+ room",1,-9,-9,-8,-9
2,5,4,3,3,2,1,3,2,3,3,4,3,2,2,2,3,4,1,0,5,5,2,1,48,"5-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,57,"5-room","University","Chinese","4+ room",1,-5,-9,-5,-4
3,0,7,5,8,2,0,3,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,63,"4-room","Secondary","Indian","4+ room",1,-9,-9,-9,-9
0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,4,0,50,"4-room","Pre-tertiary","Malay","4+ room",0,-9,-9,-9,-9
0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,53,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-7
1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,36,"5-room","University","Chinese","4+ room",1,0,-6,-2,-9
1,0,0,0,2,1,2,1,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,34,"Condominium","University","Indian","Private",0,-6,-5,-7,-8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,"5-room","Pre-tertiary","Chinese","4+ room",1,-5,-5,-5,-9
0,0,0,0,4,0,0,2,0,1,2,0,0,0,2,0,0,2,0,0,0,2,2,0,58,"5-room","Pre-tertiary","Malay","4+ room",0,-8,-8,-4,-8
0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,0,0,0,0,0,0,44,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-5
2,3,40,1,0,3,1,20,2,0,3,10,0,30,2,30,14,0,0,0,1,1,0,0,23,"5-room","Pre-tertiary","Indian","4+ room",1,-6,-6,-7,-9
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,3,3,1,0,56,"5-room","Primary","Indian","4+ room",0,-9,-9,-9,-9
5,4,2,2,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,3,0,68,"4-room","Secondary","Indian","4+ room",0,-9,-9,-9,-9
2,0,2,1,1,0,1,2,0,0,0,1,0,0,4,0,0,1,0,0,1,1,1,0,58,"5-room","Secondary","Others","4+ room",1,-7,-9,-5,-1
2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,4,0,61,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
0,0,2,2,1,0,0,2,0,0,0,1,1,0,2,0,1,2,0,0,7,5,10,0,52,"4-room","Primary","Malay","4+ room",1,-7,-9,-9,-5
1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,64,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
0,3,0,0,2,1,0,4,0,0,0,3,0,0,1,0,0,2,0,0,2,4,0,0,60,"5-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"4-room","Primary","Chinese","4+ room",1,-9,-9,-9,-9
2,0,0,3,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,69,"Condominium","University","Chinese","Private",1,-7,-9,-9,-8.33333333333333
2,1,0,1,1,2,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,2,1,0,55,"5-room","Pre-tertiary","Chinese","4+ room",0,-7,-9,-5,-9
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,59,"3-room","Secondary","Chinese","1-3 room",0,-9,-9,-7,-9
2,2,0,0,0,0,0,2,0,0,2,2,2,2,0,0,0,3,0,0,2,2,0,0,52,"5-room","Primary","Malay","4+ room",0,-9,-9,-9,-9
1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,41,"4-room","Secondary","Indian","4+ room",0,-5,-9,-7,-9
2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,3,3,3,0,26,"5-room","Pre-tertiary","Malay","4+ room",0,-9,-5,-9,-9
0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,30,"5-room","Pre-tertiary","Others","4+ room",1,-5,-5,-5,-9
2,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,5,0,0,1,2,0,0,54,"3-room","Secondary","Malay","1-3 room",0,-9,-9,-9,-8
2,2,1,10,3,3,5,2,5,1,2,1,0,0,0,1,0,1,0,0,2,2,0,0,63,"Executive ","Secondary","Chinese","4+ room",1,-8,-9,-8,-9
0,2,2,0,0,2,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,2,0,0,48,"Landed","University","Chinese","Private",0,-9,-9,-9,-9
0,0,0,1,0,1,0,10,0,2,2,0,0,1,0,0,1,5,0,0,2,2,0,0,55,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-5
3,4,10,20,100,20,30,100,0,0,0,0,0,5,6,10,30,20,0,0,0,0,0,0,50,"5-room","Pre-tertiary","Indian","4+ room",1,0,-4,-8,-4
0,0,1,0,1,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,52,"5-room","University","Chinese","4+ room",1,-5,-9,-5,-9
1,1,0,3,10,3,0,3,0,3,2,0,0,0,2,1,0,3,0,0,12,0,6,0,60,"5-room","Pre-tertiary","Chinese","4+ room",0,-8,-9,-9,-9
0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,24,"1-room","Secondary","Indian","1-3 room",1,-6,-9,-9,-9
0,0,5,6,4,2,5,3,0,0,0,0,0,0,0,2,3,0,0,0,2,3,0,0,47,"3-room","Secondary","Chinese","1-3 room",1,-5,-5,-6,-9
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,"Condominium","Secondary","Chinese","Private",0,-8,-8,-8,-8
2,0,4,1,3,10,0,2,0,1,2,1,0,2,3,0,0,2,0,0,3,2,0,0,62,"4-room","Secondary","Chinese","4+ room",1,0,-9,0,-9
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,58,"4-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,54,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-8,-9
1,3,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,"Executive ","Pre-tertiary","Others","4+ room",1,-9,-8,-9,-9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"4-room","Secondary","Malay","4+ room",0,-8,-8,-8,-8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,"4-room","Secondary","Chinese","4+ room",0,-9,-9,-9,-9
1,2,2,2,1,4,3,2,2,0,0,2,4,0,3,2,1,2,0,0,2,2,0,1,32,"5-room","Pre-tertiary","Chinese","4+ room",1,-3,-4,-3,-4
0,3,0,0,0,0,0,1,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,34,"3-room","University","Indian","1-3 room",0,0,0,0,0
0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,37,"3-room","University","Indian","1-3 room",1,-4,-4,-4,-9
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,27,"5-room","University","Chinese","4+ room",0,-3,-5,-4,-5
1,2,1,3,1,2,1,2,0,1,1,1,0,0,0,0,1,2,0,8,2,2,3,0,60,"5-room","Secondary","Indian","4+ room",1,-2,-9,-5,-9
4,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,23,"4-room","Pre-tertiary","Malay","4+ room",1,-9,-9,-9,-9
7,7,100,20,10,10,7,6,10,4,3,7,15,2,10,2,3,10,0,0,10,5,1,7,47,"5-room","Pre-tertiary","Indian","4+ room",1,-3,-9,-9,-9
0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,29,"3-room","University","Indian","1-3 room",0,-2,-6,-4,-8
0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"4-room","Secondary","Chinese","4+ room",1,-7,-9,-8,-9
3,5,6,3,5,3,0,6,2,1,1,1,1,1,6,2,0,3,0,0,2,7,0,0,41,"5-room","University","Indian","4+ room",0,-5,-5,-5,-8
1,3,1,0,2,1,0,3,1,0,0,0,0,30,250,1,0,0,0,0,4,5,1,0,40,"5-room","University","Malay","4+ room",0,-9,-9,-9,-9
1,1,0,5,10,1,0,3,0,2,0,2,0,0,0,1,0,0,0,0,3,10,0,0,54,"5-room","Secondary","Malay","4+ room",0,-5,0,-5,-9
3,5,4,1,4,2,10,3,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,1,29,"4-room","Pre-tertiary","Indian","4+ room",1,0,-4,0,-9
2,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,62,"Condominium","Pre-tertiary","Chinese","Private",1,-7,-9,-9,-9
0,4,3,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,3,4,0,50,"4-room","Pre-tertiary","Malay","4+ room",1,-9,-9,-9,-9
0,0,0,3,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,4,3,0,53,"5-room","Secondary","Chinese","4+ room",0,-4,-9,-5,-9
0,0,0,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,10,0,61,"4-room","Primary","Chinese","4+ room",1,-5,-9,-5,-9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,"4-room","Primary","Chinese","4+ room",0,-9,-9,-6,-9
0,1,50,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,32,"4-room","University","Chinese","4+ room",0,-5,-5,-5,-9
6,1,1,1,2,1,0,0,30,0,2,2,1,0,0,3,1,1,0,0,5,0,5,0,59,"Landed","University","Chinese","Private",1,-7,-9,-4,-9
2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,2,0,0,5,2,1,0,64,"Landed","University","Chinese","Private",1,-4,-6,-3,-9
